eventID,year,month,day,hour,minute,second,longitude,latitude,depth,magnitude,sigmaMagnitude
1,2007,1,5,3,19,0,-731150,66760,152,2.8,2.8
2,2007,1,7,18,20,0,-731490,67350,164,2.2,2.2
3,2007,1,7,21,11,0,-732190,67760,149,2.6,2.6
4,2007,1,10,23,13,0,-731100,67380,171,2.4,2.4
5,2007,1,11,2,51,0,-731170,67240,158,2,2
6,2007,2,7,5,47,0,-730720,68950,166,2.2,2.2
7,2007,3,4,21,12,0,-731570,68530,145,2.4,2.4
8,2007,3,11,4,56,0,-732540,67870,163,2.4,2.4
9,2007,4,1,2,24,0,-730930,69210,147,2.4,2.4
10,2007,4,1,9,24,0,-732080,67630,141,2.5,2.5
11,2007,4,2,22,36,0,-729530,69180,161,2.6,2.6
12,2007,4,3,16,34,0,-732460,66780,150,2.5,2.5
13,2007,4,16,5,5,0,-730650,67370,167,2.4,2.4
14,2007,4,21,7,14,0,-732160,67370,157,2.4,2.4
15,2008,2,1,9,51,0,-731100,69170,175,2.4,2.4
16,2008,2,6,8,31,0,-730620,66920,157,2.3,2.3
17,2008,2,24,14,47,0,-730270,68900,164,3.2,3.2
18,2008,4,6,19,43,0,-731210,68530,174,2.8,2.8
19,2008,4,14,7,5,0,-731050,66980,163,3.2,3.2
20,2008,4,26,22,47,0,-731150,67250,168,2.3,2.3
21,2007,5,4,20,59,0,-732290,68470,168,3.1,3.1
22,2007,5,5,16,31,0,-729910,67410,166,2.3,2.3
23,2007,5,18,8,37,0,-730560,68790,164,2.3,2.3
24,2007,5,20,5,27,0,-732170,67700,174,2.2,2.2
25,2007,7,10,3,38,0,-729520,66840,183,2.3,2.3
26,2007,7,27,7,38,0,-732130,69000,162,2.5,2.5
27,2007,7,30,5,34,0,-730290,67780,160,2.5,2.5
28,2007,8,4,4,0,0,-731310,67840,170,2.3,2.3
29,2007,8,27,13,0,0,-731390,68620,168,2.4,2.4
30,2007,9,5,19,10,0,-730460,66800,141,2.3,2.3
31,2007,9,5,1,2,0,-730880,67680,167,3,3
32,2007,9,10,5,51,0,-731500,68240,165,3.1,3.1
33,2007,10,19,0,38,0,-730290,68360,159,2.4,2.4
34,2007,10,21,4,56,0,-731610,68240,164,2.8,2.8
35,2007,10,28,10,17,0,-730780,68990,169,2.9,2.9
36,2007,11,8,13,52,0,-731110,68810,153,2.5,2.5
37,2007,11,17,0,35,0,-731080,68310,171,3,3
38,2007,12,15,7,32,0,-732590,67880,179,2.3,2.3
39,2008,1,1,11,0,0,-730610,68980,166,2.4,2.4
40,2008,1,28,8,31,0,-731540,68760,170,2.9,2.9
41,2008,5,6,20,37,0,-731240,67890,167,2.5,2.5
42,2008,5,8,6,9,0,-732140,67030,165,3.1,3.1
43,2008,5,8,14,27,0,-731240,67840,179,2.4,2.4
44,2008,5,16,6,8,0,-731330,67400,166,2.9,2.9
45,2008,3,21,16,42,0,-731140,67250,164,2.6,2.6
46,2008,3,21,17,16,0,-731240,67490,160,2.6,2.6
47,2008,3,21,20,47,0,-731310,67150,168,3,3
48,2008,3,22,13,58,0,-729870,68650,164,2.8,2.8
