eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
1,,2007,1,5,3,19,0.0,,-731150.0,66760.0,,,,152.0,,2.8,2.8,
2,,2007,1,7,18,20,0.0,,-731490.0,67350.0,,,,164.0,,2.2,2.2,
3,,2007,1,7,21,11,0.0,,-732190.0,67760.0,,,,149.0,,2.6,2.6,
4,,2007,1,10,23,13,0.0,,-731100.0,67380.0,,,,171.0,,2.4,2.4,
5,,2007,1,11,2,51,0.0,,-731170.0,67240.0,,,,158.0,,2.0,2.0,
6,,2007,2,7,5,47,0.0,,-730720.0,68950.0,,,,166.0,,2.2,2.2,
7,,2007,3,4,21,12,0.0,,-731570.0,68530.0,,,,145.0,,2.4,2.4,
8,,2007,3,11,4,56,0.0,,-732540.0,67870.0,,,,163.0,,2.4,2.4,
9,,2007,4,1,2,24,0.0,,-730930.0,69210.0,,,,147.0,,2.4,2.4,
10,,2007,4,1,9,24,0.0,,-732080.0,67630.0,,,,141.0,,2.5,2.5,
11,,2007,4,2,22,36,0.0,,-729530.0,69180.0,,,,161.0,,2.6,2.6,
12,,2007,4,3,16,34,0.0,,-732460.0,66780.0,,,,150.0,,2.5,2.5,
13,,2007,4,16,5,5,0.0,,-730650.0,67370.0,,,,167.0,,2.4,2.4,
14,,2007,4,21,7,14,0.0,,-732160.0,67370.0,,,,157.0,,2.4,2.4,
15,,2008,2,1,9,51,0.0,,-731100.0,69170.0,,,,175.0,,2.4,2.4,
16,,2008,2,6,8,31,0.0,,-730620.0,66920.0,,,,157.0,,2.3,2.3,
17,,2008,2,24,14,47,0.0,,-730270.0,68900.0,,,,164.0,,3.2,3.2,
18,,2008,4,6,19,43,0.0,,-731210.0,68530.0,,,,174.0,,2.8,2.8,
19,,2008,4,14,7,5,0.0,,-731050.0,66980.0,,,,163.0,,3.2,3.2,
20,,2008,4,26,22,47,0.0,,-731150.0,67250.0,,,,168.0,,2.3,2.3,
21,,2007,5,4,20,59,0.0,,-732290.0,68470.0,,,,168.0,,3.1,3.1,
22,,2007,5,5,16,31,0.0,,-729910.0,67410.0,,,,166.0,,2.3,2.3,
23,,2007,5,18,8,37,0.0,,-730560.0,68790.0,,,,164.0,,2.3,2.3,
24,,2007,5,20,5,27,0.0,,-732170.0,67700.0,,,,174.0,,2.2,2.2,
25,,2007,7,10,3,38,0.0,,-729520.0,66840.0,,,,183.0,,2.3,2.3,
26,,2007,7,27,7,38,0.0,,-732130.0,69000.0,,,,162.0,,2.5,2.5,
27,,2007,7,30,5,34,0.0,,-730290.0,67780.0,,,,160.0,,2.5,2.5,
